"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"07/29/2024 00:00:00","EDT","CAPITL",61757,1427.4236
"07/29/2024 00:00:00","EDT","CENTRL",61754,1670.1912
"07/29/2024 00:00:00","EDT","DUNWOD",61760,712.5103
"07/29/2024 00:00:00","EDT","GENESE",61753,1142.8247
"07/29/2024 00:00:00","EDT","HUD VL",61758,1127.5978
"07/29/2024 00:00:00","EDT","LONGIL",61762,2538.5341
"07/29/2024 00:00:00","EDT","MHK VL",61756,790.2429
"07/29/2024 00:00:00","EDT","MILLWD",61759,318.2288
"07/29/2024 00:00:00","EDT","N.Y.C.",61761,6347.7191
"07/29/2024 00:00:00","EDT","NORTH",61755,607.4624
"07/29/2024 00:00:00","EDT","WEST",61752,1911.8698
"07/29/2024 01:00:00","EDT","CAPITL",61757,1375.928
"07/29/2024 01:00:00","EDT","CENTRL",61754,1590.9952
"07/29/2024 01:00:00","EDT","DUNWOD",61760,681.65
"07/29/2024 01:00:00","EDT","GENESE",61753,1079.1034
"07/29/2024 01:00:00","EDT","HUD VL",61758,1065.2685
"07/29/2024 01:00:00","EDT","LONGIL",61762,2372.4434
"07/29/2024 01:00:00","EDT","MHK VL",61756,753.4176
"07/29/2024 01:00:00","EDT","MILLWD",61759,297.2843
"07/29/2024 01:00:00","EDT","N.Y.C.",61761,6145.5649
"07/29/2024 01:00:00","EDT","NORTH",61755,602.6884
"07/29/2024 01:00:00","EDT","WEST",61752,1829.1135
"07/29/2024 02:00:00","EDT","CAPITL",61757,1343.0635
"07/29/2024 02:00:00","EDT","CENTRL",61754,1526.7356
"07/29/2024 02:00:00","EDT","DUNWOD",61760,651.0507
"07/29/2024 02:00:00","EDT","GENESE",61753,1033.8854
"07/29/2024 02:00:00","EDT","HUD VL",61758,1024.1342
"07/29/2024 02:00:00","EDT","LONGIL",61762,2249.0014
"07/29/2024 02:00:00","EDT","MHK VL",61756,725.2859
"07/29/2024 02:00:00","EDT","MILLWD",61759,283.9652
"07/29/2024 02:00:00","EDT","N.Y.C.",61761,5972.0373
"07/29/2024 02:00:00","EDT","NORTH",61755,615.4604
"07/29/2024 02:00:00","EDT","WEST",61752,1753.492
"07/29/2024 03:00:00","EDT","CAPITL",61757,1328.1194
"07/29/2024 03:00:00","EDT","CENTRL",61754,1502.5579
"07/29/2024 03:00:00","EDT","DUNWOD",61760,632.0311
