time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-09-09 00:00:00,19,13,68,,,40,6,,1026,,
2025-09-09 01:00:00,19,12.3,65,,,30,7,,1026,,
2025-09-09 02:00:00,19,11.8,63,,,40,6,,1026,,
2025-09-09 03:00:00,18,12.4,70,,,30,9,,1026,,
2025-09-09 04:00:00,18,13.1,73,,,40,11,,1026,,
2025-09-09 05:00:00,18,14.7,81,,,40,9,,1026,,
2025-09-09 06:00:00,18,15.8,87,,,20,11,,1027,,
2025-09-09 07:00:00,18,14.1,78,,,50,13,,1027,,
2025-09-09 08:00:00,20,15,73,,,40,15,,1027,,
2025-09-09 09:00:00,21,15.5,71,,,20,19,,1027,,
2025-09-09 10:00:00,21,13.9,64,,,40,17,,1027,,
2025-09-09 11:00:00,23,12.9,53,,,50,19,,1027,,
2025-09-09 12:00:00,24,15.7,60,,,50,17,,1027,,
2025-09-09 13:00:00,24,14.1,54,,,60,15,,1026,,
2025-09-09 14:00:00,24,14.1,54,,,50,11,,1026,,
2025-09-09 15:00:00,22,14.9,64,,,50,17,,1026,,
2025-09-09 16:00:00,22,14.1,61,,,30,15,,1026,,
2025-09-09 17:00:00,22,15.3,66,,,50,15,,1025,,
2025-09-09 18:00:00,22,15.3,66,,,90,11,,1025,,
2025-09-09 19:00:00,21,14.4,66,,,70,13,,1025,,
2025-09-09 20:00:00,21,12.7,59,,,40,15,,1025,,
2025-09-09 21:00:00,20,13.2,65,,,40,15,,1025,,
2025-09-09 22:00:00,19,12.5,66,,,50,22,,1025,,
2025-09-09 23:00:00,19,13,68,,,40,22,,1025,,
2025-09-10 00:00:00,19,14,73,,,40,20,,1025,,
2025-09-10 01:00:00,19,15.3,79,,,40,19,,1025,,
2025-09-10 02:00:00,19,15.7,81,,,30,22,,1024,,
2025-09-10 03:00:00,19,16,83,,,40,20,16,1024,,
2025-09-10 04:00:00,18,14.7,81,,,40,19,15,1024,,
2025-09-10 05:00:00,18,14.7,81,,,30,19,15,1023,,
2025-09-10 06:00:00,18,15.8,87,,,30,22,16,1024,,
2025-09-10 07:00:00,18,16.8,93,,,40,20,17,1023,,
2025-09-10 08:00:00,17,17,100,0,,40,22,18,1023,,
2025-09-10 09:00:00,18,18,100,0,,50,20,16,1023,,
2025-09-10 10:00:00,19,17.3,90,0,,40,17,15,1023,,
2025-09-10 11:00:00,19,17,88,,,30,17,19,1023,,
2025-09-10 12:00:00,20,17.9,88,0,,40,20,16,1022,,
2025-09-10 13:00:00,22,16.9,73,,,30,19,16,1021,,
2025-09-10 14:00:00,22,16.9,73,,,30,9,,1021,,
2025-09-10 15:00:00,23,17.5,71,,,60,15,,1020,,
2025-09-10 16:00:00,23,15.3,62,,,70,11,,1020,,
2025-09-10 17:00:00,23,14.8,60,,,50,11,,1020,,
2025-09-10 18:00:00,23,13.5,55,,,0,0,,1020,,
2025-09-10 19:00:00,23,14,57,,,50,13,,1019,,
2025-09-10 20:00:00,23,12.9,53,,,40,7,,1020,,
2025-09-10 21:00:00,22,13.6,59,,,50,9,,1019,,
2025-09-10 22:00:00,22,15.3,66,,,90,7,,1019,,
2025-09-10 23:00:00,22,14.1,61,,,60,6,,1019,,
2025-09-11 00:00:00,21,14.9,68,,,0,0,,1019,,
2025-09-11 01:00:00,21,15.3,70,,,0,0,,1019,,
2025-09-11 02:00:00,21,16,73,0,,0,0,,1019,,1
2025-09-11 03:00:00,20,16,78,0,,0,0,,1019,,1
2025-09-11 04:00:00,19,15.3,79,0,,0,0,,1019,,1
2025-09-11 05:00:00,20,16,78,0,,80,6,,1019,,1
2025-09-11 06:00:00,19,16.8,87,0,,40,6,,1020,,1
2025-09-11 07:00:00,19,14.7,76,0,,0,0,,1020,,1
2025-09-11 08:00:00,22,15.3,66,0,,0,0,,1021,,1
2025-09-11 09:00:00,23,12.6,52,0,,348,6,,1021,,1
2025-09-11 10:00:00,24,14.1,54,0,,260,11,36,1021,,1
2025-09-11 11:00:00,26,13.8,47,0,,352,7,,1021,,1
2025-09-11 12:00:00,27,10.2,35,0,,320,19,18,1020,,1
2025-09-11 13:00:00,27,11.1,37,0,,7,9,,1020,,3
2025-09-11 14:00:00,28,10.7,34,0,,1,7,40,1020,,3
2025-09-11 15:00:00,27,10.2,35,0,,80,13,18,1019,,1
2025-09-11 16:00:00,28,9.3,31,0,,50,9,,1019,,1
2025-09-11 17:00:00,27,10.2,35,0,,60,11,,1019,,2
2025-09-11 18:00:00,26,11,39,0,,23,6,,1020,,1
2025-09-11 19:00:00,24,12.3,48,0,,30,7,,1020,,2
2025-09-11 20:00:00,24,14.1,54,0,,0,0,,1020,,2
2025-09-11 21:00:00,23,14,57,0,,0,0,,1020,,1
2025-09-11 22:00:00,23,14,57,0,,0,0,,1021,,2
2025-09-11 23:00:00,22,18.2,79,0,,240,7,,1021,,2
2025-09-12 00:00:00,21,14.9,68,0,,260,7,,1021,,1
2025-09-12 01:00:00,21,14.9,68,0,,260,7,,1021,,1
2025-09-12 02:00:00,21,17.8,82,0,,0,0,,1021,,1
2025-09-12 03:00:00,21,15.3,70,0,,0,0,,1021,,1
2025-09-12 04:00:00,21,14.4,66,0,,30,15,,1021,,1
2025-09-12 05:00:00,20,13.2,65,0,,30,15,15,1022,,1
2025-09-12 06:00:00,20,12.7,63,0,,30,20,,1023,,1
2025-09-12 07:00:00,21,14.4,66,0,,40,19,16,1023,,1
2025-09-12 08:00:00,21,14.9,68,0,,60,13,,1023,,1
2025-09-12 09:00:00,22,16.5,71,0,,40,17,15,1024,,1
2025-09-12 10:00:00,22,13.6,59,0,,40,19,,1024,,1
2025-09-12 11:00:00,23,13.5,55,0,,60,15,,1024,,1
2025-09-12 12:00:00,24,14.1,54,0,,70,9,,1024,,1
2025-09-12 13:00:00,26,12.4,43,0,,50,9,,1023,,2
2025-09-12 14:00:00,26,11.7,41,0,,60,9,,1023,,2
2025-09-12 15:00:00,28,11.1,35,0,,240,6,41,1022,,27
2025-09-12 16:00:00,27,14.7,47,0,,230,7,,1022,,3
2025-09-12 17:00:00,27,13.7,44,0,,230,7,,1022,,3
2025-09-12 18:00:00,24,12.3,48,0,,150,13,,1022,,3
2025-09-12 19:00:00,22,15.3,66,0,,160,9,,1022,,3
2025-09-12 20:00:00,22,16,69,0,,150,9,48,1023,,27
2025-09-12 21:00:00,21,17.8,82,0,,120,9,45,1023,,2
2025-09-12 22:00:00,21,18.7,87,0,,170,9,,1023,,2
2025-09-12 23:00:00,21,18.7,87,0,,150,7,,1022,,1
2025-09-13 00:00:00,20,18.3,90,0,,0,0,,1022,,1
2025-09-13 01:00:00,20,17.9,88,0,,0,0,,1023,,1
2025-09-13 02:00:00,20,19,94,0,,0,0,,1022,,1
2025-09-13 03:00:00,20,19,94,0,,270,6,,1022,,1
